Country names,RCT_ID,RCT_ID_duplicates,country,region_detail,continent,continent_region,country_count,region_count,is_multi_country,is_multi_region,is_online
Private,AEARCTR-0009276,AEARCTR-0009276,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Peru (),AEARCTR-0009280,AEARCTR-0009280,Peru,No additional info,South America,South America,1,0,False,False,False
Private,AEARCTR-0009281,AEARCTR-0009281,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009283,AEARCTR-0009283,United States of America,No additional info,North America,North America,1,0,False,False,False
Private,AEARCTR-0009284,AEARCTR-0009284,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009286,AEARCTR-0009286,United States of America,No additional info,North America,North America,1,0,False,False,False
"India (Ahmedabad, Gujarat)",AEARCTR-0009287,AEARCTR-0009287,India,"Ahmedabad, Gujarat",Asia,South Asia,1,1,False,False,False
United States of America (Midwest),AEARCTR-0009288,AEARCTR-0009288,United States of America,Midwest,North America,North America,1,1,False,False,False
Private,AEARCTR-0009289,AEARCTR-0009289,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
"India (Ahmedabad, Gujarat)",AEARCTR-0009290,AEARCTR-0009290,India,"Ahmedabad, Gujarat",Asia,South Asia,1,1,False,False,False
Private,AEARCTR-0009291,AEARCTR-0009291,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009292,AEARCTR-0009292,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Benin (),AEARCTR-0009294,AEARCTR-0009294,Benin,No additional info,Africa,West Africa,1,0,False,False,False
Private,AEARCTR-0009295,AEARCTR-0009295,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009296,AEARCTR-0009296,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009297,AEARCTR-0009297,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009298,AEARCTR-0009298,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
India (All of India),AEARCTR-0009299,AEARCTR-0009299,India,No additional info,Asia,South Asia,1,0,False,False,False
Germany (),AEARCTR-0009300,AEARCTR-0009300,Germany,No additional info,Europe,Western Europe,1,0,False,False,False
United States of America (),AEARCTR-0009301,AEARCTR-0009301,United States of America,No additional info,North America,North America,1,0,False,False,False
Private,AEARCTR-0009302,AEARCTR-0009302,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009303,AEARCTR-0009303,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009304,AEARCTR-0009304,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Germany (National),AEARCTR-0009305,AEARCTR-0009305,Germany,No additional info,Europe,Western Europe,1,0,False,False,False
Germany (National),AEARCTR-0009307,AEARCTR-0009307,Germany,No additional info,Europe,Western Europe,1,0,False,False,False
United States of America (Ohio),AEARCTR-0009310,AEARCTR-0009310,United States of America,Ohio,North America,North America,1,1,False,False,False
Brazil (Rondônia),AEARCTR-0009311,AEARCTR-0009311,Brazil,Rondônia,South America,South America,1,1,False,False,False
Private,AEARCTR-0009313,AEARCTR-0009313,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009314,AEARCTR-0009314,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Kenya (Nairobi),AEARCTR-0009315,AEARCTR-0009315,Kenya,Nairobi,Africa,East Africa,1,1,False,False,False
Private,AEARCTR-0009316,AEARCTR-0009316,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009317,AEARCTR-0009317,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009318,AEARCTR-0009318,United States of America,No additional info,North America,North America,1,0,False,False,False
Private,AEARCTR-0009319,AEARCTR-0009319,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009321,AEARCTR-0009321,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009322,AEARCTR-0009322,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009323,AEARCTR-0009323,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009325,AEARCTR-0009325,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United Kingdom of Great Britain and Northern Ireland (),AEARCTR-0009326,AEARCTR-0009326,United Kingdom of Great Britain and Northern Ireland,No additional info,Europe,Northern Europe,1,0,False,False,False
Bangladesh (),AEARCTR-0009327,AEARCTR-0009327,Bangladesh,No additional info,Asia,South Asia,1,0,False,False,False
Ukraine (),AEARCTR-0009328,AEARCTR-0009328,Ukraine,No additional info,Europe,Eastern Europe,1,0,False,False,False
Private,AEARCTR-0009329,AEARCTR-0009329,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Netherlands (),AEARCTR-0009330,AEARCTR-0009330,Netherlands,No additional info,Europe,Western Europe,1,0,False,False,False
Switzerland (National (French and German speaking part of Switzerland)),AEARCTR-0009331,AEARCTR-0009331,Switzerland,National (French and German speaking part of Switzerland,Europe,Western Europe,1,1,False,False,False
